ID,Date,Text
317,2020-05-01,švedski model čarobni štapić borbu koronavirusa svjetska zdravstvena organizacija velikodušno hvalila ove pandemije kina singapur irska primili pohvalu rješavanje krize koronavirusom vidiku nova prekretnica širenje infekcije postupno prekida uključujući drakonske mjere zatvaranja who promiče švedski način postupanja švedska predstavlja budući model…ako želimo vratiti društvu kojem nemamo karantene mike ryan who-a pohvalivši način šveđani sami reguliraju piše bloomberg švedski pristup razlikuje onog drugih zemalja francuske italije sjedinjenih država kine velika javna okupljanja zabranjena restorani barovi škole ostaju otvoreni socijalno distanciranje potiče radije provodi povjerenje javnost veliko isto povjerenje javnosti strategiju čini šveđani zadovoljni globalnom pažnjom mnoge zemlje počinju snalaziti švedski način izjavio usa today anders tegnell glavni epidemiolog zemlje američki predsjednik donald trump nesumnjivo iznerviran pričama američkim medijima hvale šveđani ovog tjedna poentirao napominjući visoku cijenu šveđani morali platiti smislu smrtnih slučajeva covid-19 švedska ima 2586 mrtvih usporedbi danskom 452 norveškom 207 uzimajući obzir stanovništvo švedska pretrpjela smrtnih slučajeva milijun odnosu sjedinjene države smrti broje isti način gleda smrtnost svih uzroka bolja stvarne razine smrtnosti koronavirusa švedska početka godine pogođena visokim viškom smrtnih slučajeva pokazalo europsko tijelo prati ove statistike danskoj niski kontraargument švedska prihvatila smrti zamjenu pokušaj bržeg postizanja grupnog imuniteta zaštite gospodarstva totalnog kolapsa velikih zemalja europi strožim mjerama pretrpjelo smrtnih slučajeva veću ekonomsku štetu švedske smatrali nemaju drugog načina oslobode pretrpane bolnice problem švedska primjerice francuska procjenjuje karantena spasila 60000 života znamo imuniteta stekli šveđani službeno izvješće kojem procjenjuje trećina stanovništva stockholma razviti antitijela virus 1 svibnja povučeno pogreške znamo švedsko iskustvo epidemijom covid-19 iznimno druge zemlje zabilježen porast broja smrtnih slučajeva domovima skrb procjenjuje nastupila približno tri smrtne slučaja virusa očekivalo osoblje samoregulirati izvještajima činilo isto rođacima im zabranjeni posjeti šveđani imali nedostatak sustavnog testiranja nestašice opreme možda stvari bile demografskih kulturnih navika šveđana populacija dugo distancira načina polovice zemlje živi kućanstvima osobe rad kuće uobičajen pristup brzom širokopojasnom pristupu omogućen svugdje vrijeme prolazi šveđani postaju ravnodušni pravila distanciranja pokazuju slike prepunih restorana javnozdravstveni službenici upozorili ponašanje stockholmu zaprijetili zatvoriti kafiće restorane istovremeno radnici migranti zemlji zaraženi nesrazmjernom broju nedavnom nacionalnom istraživanju samoreguliranje izgleda ambiciozno imigrantske zajednice nedostaje pristup informacijama švedska može pokazati relativnim pobjednikom načinom pristupa pandemiji posebno ekonomski doći kraćeg ozbiljnog usporavanja svojih europskih susjeda kaže torbjorn isaksson analitičar nordea banke razveseliti kritičare zaključavanja poput švedskog industrijalca jacoba wallenberga ožujku upozorio dugoročnu štetu dubokog zamrzavanja gospodarstava međutim zaključak velika pobjeda gospodarstvo kojem trgovina čini 89 bdp-a dvojben obzirom usporavanje trgovinskih partnera europske unije jedinstvenom tržištu paralizirano strahom virusa obzirom stigli kraja ove pandemije škodilo razboritosti danski filozof soren kierkegaard jednom život može razumjeti unatrag mora živjeti približavamo prekretnici krize primamljivo gledati unatrag izdvojiti pobjednike model treba slijediti znamo sljedeće dogoditi proživio uključuje švedsku rijeka
318,2020-05-01,trstu koronavirusa umrlo 5 potvrđeni pozitivni slučajevi koronavirusa friuli venezia giulia porasli petak 1 svibnja 3041 povećanje 16 odnosu izliječeno 1489 143 klinički ozdravilo simptoma negativni bris pet smrtnih slučajeva trsta povećava ukupan broj umrlih 294 priopćio zamjenik guvernera zadužen zdravstvo civilnu zaštitu riccardo riccardi sjedišta palmanovi tiče smrti trst očito pogođeno područje 157 slučajeva slijede udine 72 pordenone 61 gorica 4 obzirom pozitivne slučajeve područje trsta zabilježilo 1256 zaraženih udine slijede 953 pordenone 644 gorica 187 dodaje 1 prebivalište regiji trenutno postoji 6 pacijenata intenzivnoj njezi 131 hospitalizirana 978 kućnoj izolaciji
319,2020-05-01,9 novozaraženih splita stožer tvrdi kriv pomor domu umirovljenika imamo 9 novih bolesnika ukupno 2085 bolesnika preminulo 6 bolesnika splitu 5 ženskih koprivnici rečeno današnjoj tiskovnoj konferenciji stožera 29 izliječenih novi slučajevi splitskog područja tri medicinske sestre testirane povratka posao pozitivitet imati utjecaja funkcioniranje bolnice kazao capak splitsko-dalmatinska prvom mjestu broju oboljelih usporedimo drugim zemljama okruženju niski broj oboljelih županiju velikim brojem stanovnika kazao capak beroš objavljuje nalaze inspekcije splitu inspekcija ministarstva zdravsta utvrdila propusta domu splitu kazao beroš nepravilnosti propusta žurno proveli mjere dodao beroš ministarstvo demografiju utvrdilo domu splitu držali uputa preporuka svih nadležnih tijela kazala ministrica demografije bedeković upit novinara moguće korisnici 10 imali temperaturu potvrdio ravnatelj doma moguće odjednom postali pozitivni virus ministrica kaže proveden nadzor načinjeno izvješće utvrđeno propusta postupanju strane doma strane zaposlenika ponovila bedeković odgovorivši pritom postavljeno pitanje testirani imali temperaturu capak kazao temperatura simptom takvim ustanovama pojavljuje pregledani strane liječnice dodijeljena im terapija dakle pregledani pružena skrb teško utvrditi im dijagnosticiran covid možemo znati kazao capak upit temperatura jedan glavnih simptoma korone testirani odgovorila alemka markotić dobili temperaturu mora izlučiti imunoloških komponenti stariji jednostavno nemaju mogućnost pokrenuti mehanizme povišenje temperature uopće mora postojati temperatura starijih bolesnika uobičajeno imaju povremeno temperature imati nemati isključivo temperatura može jedini razlog sumnja ima koronavirus imao teške respiratorne simptome objasnila markotić
320,2020-05-01,dvije osobe privedene prosvjedu karantene billa gatesa 5g mreže who-a jadranskom trgu održan prosvjed izađi bori kojem pozivu kružio društvenim mrežama prosvjedovalo karantene kršenja ljudskih prava slobode govora kretanja obustave instalacije 5g mreže informacijama mjesta događaja dvije osobe privedene okupilo ukupno dvadesetak alan kulundzich-juranich rijeka
321,2020-05-01,10 novozaraženih pgž izliječenih zaraženih pgž 10 novooboljelih značajno primijenio omjer zaraženih izliječenih kojih današnjim danom imamo 38 zaraženih 32 pozitivne koronavirus rijeka
322,2020-05-02,"appleovi podaci pokazuju karantena završila željele vlade zbogom karanteno pozdrav ponovnom otvaranju appleovo izvješće kretanju mobilnosti pokazuje promet sad-u drugim zemljama poput njemačke udvostručio posljednja tri tjedna pad 72 pružatelj podataka lokaciji foursquare kaže posjete benzinskim pumpama trgovinama brzom hranom vratile razinu covid-19 američkom srednjem zapadu ruralna područja slijede isti obrazac promet benzinskim stanicama vratio razinu covid-19 srednjem zapadu ruralnim područjima cijeloj zemlji piše forbes promet restorana brze usluge porastao posljednjih tjedana željele vlade medicinski profesionalci znanstvenici postali umorni karantena željni povratka nekom prividu normalnog života posjeti trgovinama prehrambenim proizvodima sniženi normalne razine ožujka 30-40 viši normalnih toga napravili zalihe računajući dugotrajnu karantenu apple koristi podatke pretražuju apple maps upute podatke foursquare bilježe zapravo posjećuju lokacije 13 milijuna amerikanaca odobrilo tvrtki korištenje njihovih podataka odlazi mjesta utjecalo brojne teško pogođene industrije teretane dalje 65-69 trgovine odjeće dalje snižena 72 trgovine namještaja dalje 56-60 kina dalje 75 saloni noktiju druge strane padaju 38-42 hoteli srednjem zapadu 49 usporedbi 63-70 pada drugim regijama zanimljivo pokazuju podaci applea kanade vožnja pješačenje vraćaju normalne razine izbjegavaju tranzit 79 niži razine koronavirusa samostalna vožnja izgleda sigurna sjediti autobusu vlaku stotinama drugih osjećaju nestrpljenje povratkom stvarni svijet kaže foursquare službenici započinju proces ublažavanja određenih poslovnih ograničenja započinjemo vidljivim povećanjem pješačenja raznih mjesta vrijedi svim regijama obzira politike specifične državu čini slučajevi covid-19 sad-u počeli nestajati ima 1,1 milijun slučajeva 65034 smrtnih ishoda trenutno ima 900 000 aktivnih slučajeva pitanje države počinju otvarati počinju odlučivati ​​da završili karantenom pravilima zatvorenim mjestima broj slučajeva narasti najvjerojatnije usvojimo mjere zemlje poput tajvana usavršavale maske socijalno distanciranje kontaktno praćenje zaraženih omogućilo tajvanu ograniči širenje coronavirusa spasi živote pokušaj postizanja imuniteta krda mogao rezultirati smrti rijeka"
323,2020-05-02,11 uzastopni dan koronavirusa pgž pgž bilježi 11 uzastopni dan ijednog novog slučaja zaraze koronavirusom ovom trenutku pgž ima 41 oporavljenu osobu 29 čeka oporavak potvrdu izliječenja čeka kuće četiri osobe srednjim težim simptomima liječi kbc-u rijeka
324,2020-05-02,repubblica ispravila informaciju velikom dnevnom povećanju smrtnih slučajeva informacija velikom dnevnom povećanju smrtnih slučajeva italiji srećom točna repubblica objavila dnevni broj smrtnih slučajeva padu posljednja 24 sata iznosi 192 pogrešnog tumačenja rezultata došlo toga zadnji izvještaj uvrštena 282 smrtna slučaja bolnica dogodili travnju zbroj umrlih posljednja 24 sata naknadno dodanih umrlih travnju iznosio 474 izvještajima pogrešno protumačilo broj umrlih jednom danu pokazatelji nastavljaju kretati smjeru smanjenja zaraze nizak omjer novih slučajeva broja briseva rast izliječenih smanjenje hospitaliziranih rijeka
325,2020-05-02,"3 novozaražena hrvatskoj istri ozdravili nacionalni stožer civilne zaštite redovitoj konferenciji novinare 14 sati objavio nove podatke koronavirusu hrvatskoj protekla 24 sata covida-19 oboljelo troje novih bolesnika ukupno 2088 pozitivnih učinjeno 37557 testiranja čega 640 24 sata postotak pozitivnih 5,56 posto preminule dvije bolesne osobe kbc-u split kb dubrava respiratoru druga ukupno 77 preminulih oporavljenih 551 bolnicama 872 kuće ukupno 42 istarskoj županiji oboljelih oporavljeni sad pravo vrijeme idemo dalje pravo vrijeme daljnji oprez strpljenje nužno održavanje fizičkog razmaka nastojmo kupovine pretvaramo obiteljske izlete veselimo onom slijedi morat pričekati današnji rezultati vesele ministar zdravstva vili beroš ističući 68dan potvrde prvog oboljelog hrvatskoj vili beroš"
326,2020-05-03,"mortalitet korone pgž 3 puta niži istarskog 6 puta niži državnog prosjeka poznato pgž ima jednu najboljih epidemioloških situacija hrvatskoj riječ broju zaraženih koronavirus stanovniku rezultat portignut činjenici prvi slučaj koronavirusa zabilježen upravo spominjemo rizike blizine italije najteže pogođenih zemalja svijetu povoljniji podaci analizira stopa mortaliteta koronavirusa pgž odnosu ostale regije hrvatskoj stopa mortaliteta koronavirusa 100000 stanovnika republika hrvatska 1,9 splitsko dalmatinska županija 6,2 grad zagreb 2,5 osječko baranjska županija 2,3 istarska županija 1,0 primorsko goranska županija 0,33 ovim podacima trebamo dodati činjenicu imamo duplo zaraženih prosjeka države susjedne istre dijelovima pgž uopće slučajeva zaraze nijedan slučaj koronavirusa zabilježen gorskom kotaru grobniku otocima rabu lošinju rijeka"
