ID,Month,Word,Frequency
0,4,rijeka,134
1,4,slučajeva,123
2,4,koronavirusa,120
3,4,broj,103
4,4,ima,80
5,4,covid-19,79
6,4,koronavirusom,69
7,4,virus,68
8,4,mjere,67
9,4,zaraze,66
10,4,hrvatskoj,65
11,4,koronavirus,65
12,4,bolesti,62
13,4,sata,61
14,4,jedan,60
15,4,virusa,60
16,4,novih,59
17,4,24,57
18,4,ukupno,56
19,4,osobe,56
20,4,može,55
21,4,dva,52
22,4,imamo,50
23,4,zaraženih,49
24,4,pgž,48
