ID,Month,Word,Frequency
0,5,rijeka,58
1,5,slučajeva,49
2,5,broj,41
3,5,koronavirusa,33
4,5,sata,33
5,5,24,32
6,5,covid-19,31
7,5,može,29
8,5,novih,28
9,5,godine,27
10,5,virus,27
11,5,svibnja,25
12,5,ima,24
13,5,rekla,24
14,5,koronavirusom,23
15,5,kaže,23
16,5,hrvatskoj,23
17,5,koronavirus,22
18,5,virusa,21
19,5,kuće,21
20,5,vrijeme,21
21,5,trenutno,21
22,5,jedan,21
23,5,toga,21
24,5,bolesti,21
