ID,Month,Word,Frequency
0,11,mjere,158
1,11,broj,117
2,11,rijeka,110
3,11,slučajeva,105
4,11,covid-19,80
5,11,zaraze,77
6,11,sata,74
7,11,osobe,74
8,11,pacijenata,70
9,11,ukupno,66
10,11,cjepivo,65
11,11,bolesti,62
12,11,hrvatskoj,61
13,11,posto,60
14,11,24,60
15,11,koronavirusa,57
16,11,zaraženih,55
17,11,koronavirusom,55
18,11,može,54
19,11,toga,54
20,11,novih,51
21,11,covida-19,42
22,11,koronavirus,42
23,11,virus,41
24,11,broja,40
