ID,Month,Word,Frequency
0,10,rijeka,88
1,10,slučajeva,79
2,10,sata,69
3,10,24,66
4,10,mjere,66
5,10,hrvatskoj,62
6,10,broj,60
7,10,zaraze,58
8,10,ukupno,50
9,10,pacijenata,48
10,10,osobe,47
11,10,toga,46
12,10,pgž,43
13,10,posljednja,42
14,10,može,41
15,10,novozaraženih,40
16,10,novih,40
17,10,aktivnih,38
18,10,koronavirusa,38
19,10,covid-19,37
20,10,stožer,34
21,10,slučaja,33
22,10,zaraženih,32
23,10,cjepivo,32
24,10,virus,32
