ID,Month,Word,Frequency
0,3,koronavirusa,191
1,3,rijeka,179
2,3,broj,150
3,3,mjere,117
4,3,koronavirus,109
5,3,zaraženih,85
6,3,bolesti,82
7,3,ima,77
8,3,slučajeva,75
9,3,italiji,74
10,3,može,73
11,3,zaštite,71
12,3,koronavirusom,68
13,3,hrvatskoj,65
14,3,virusa,60
15,3,trenutno,59
16,3,osobe,57
17,3,virus,57
18,3,civilne,56
19,3,stožera,54
20,3,jedan,51
21,3,imaju,50
22,3,epidemije,50
23,3,kaže,50
24,3,vrijeme,49
